Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
14,Borarmevik,Lenes,Lenes Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,16788,420.38,524.5,-47.22,-68.71,9,10°C,London (England),,,,,plaza,,,{t1:argent;charges:[{charge:estoile;t:gules;p:abcdefgzi;size:0.3}];shield:spanish},https://watabou.github.io/city-generator/?name=Borarmevik&population=16788&size=38&seed=8820546000014&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
15,Ulvsos,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,23690,233.19,543.01,-52.07,-117.69,9,9°C,Copenhagen (Denmark),,port,,,plaza,,,{t1:purpure;division:{division:perCross;t:or;line:straight};charges:[{charge:pike;t:argent;p:j;t2:argent;divided:counter;size:0.6}];shield:spanish},https://watabou.github.io/city-generator/?name=Ulvsos&population=23690&size=43&seed=8820546000015&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.01
16,Sinzheim,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,2270,517.58,118.38,59.03,-43.28,4,-4°C,Yellowknife (Canada),,,,walls,plaza,,,{t1:sable;division:{division:perPale;t:argent;line:straight};charges:[{charge:crossPotent;t:or;p:e;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Sinzheim&population=2270&size=18&seed=8820546000016&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
17,Lenviralur,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,11684,243.3,503.9,-41.83,-115.04,4,15°C,Rome (Italy),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:billet;t:purpure;p:e;size:0.7}];shield:spanish},https://watabou.github.io/city-generator/?name=Lenviralur&population=11684&size=33&seed=8820546000017&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
18,Nitami,Nishiwa,Nishiwa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,19170,1049.8,174.2,44.42,95.97,9,4°C,Reykjavik (Iceland),,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:terrace;t:azure;line:straight}];charges:[{charge:arrow;t:azure;p:e;t2:azure;t3:vert;size:1.5;reversed:1}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Nitami&population=19170&size=40&seed=8820546000018&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
19,Katsumaji,Kayawaga,Kayawaga Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,39998,838.18,172.22,44.94,40.6,196,6°C,Stockholm (Sweden),,port,,,,,,{t1:vert;division:{division:perChevron;t:argent;line:embattledNotched};charges:[{charge:serpent;t:or;p:bdefh;t2:or;divided:counter;size:0.4}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Katsumaji&population=39998&size=52&seed=8820546000019&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.67
20,Einausen,Schapfheimia,Schapfheimia Province,Nosland,United Kingdom of Nosland,Weisin,Pelor,towns,9108,558.28,270.57,19.21,-32.63,16,27°C,Mogadishu (Somalia),,port,,walls,plaza,temple,shanty town,{t1:argent;ordinaries:[{ordinary:bendlet;t:gules;line:straight}];charges:[{charge:goutte;t:argent;p:joe;size:0.3}];shield:pavise},https://watabou.github.io/city-generator/?name=Einausen&population=9108&size=30&seed=8820546000020&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural&sea=0.1
21,Sagaku,Seto,Seto Province,Yugure,Empire of Yugure,Shin,Pelor,towns,30743,1228.01,297.53,12.16,142.6,4,27°C,Mogadishu (Somalia),,,,walls,plaza,,,{t1:argent;charges:[{charge:head;t:gules;p:e;t2:gules;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Sagaku&population=30743&size=47&seed=8820546000021&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
22,Rasqah,Bisqah,Bisqah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,7780,1094.9,336.4,1.99,107.77,4,29°C,Niamey (Niger),,,,,plaza,,,{t1:sable;charges:[{charge:millstone;t:argent;p:e;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Rasqah&population=7780&size=28&seed=8820546000022&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
23,Alash,Bisqah,Bisqah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,3595,1120.6,355.5,-3.01,114.49,16,29°C,Niamey (Niger),,,,,,,,{t1:or;ordinaries:[{ordinary:terrace;t:azure;line:rayonne}];charges:[{charge:crossPatonce;t:purpure;p:jln;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Alash&population=3595&size=21&seed=8820546000023&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
24,Gigela,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,6313,251.31,524.91,-47.33,-112.95,64,12°C,Paris (France),,port,citadel,,plaza,temple,,{t1:azure;charges:[{charge:drakkar;t:or;p:e;t2:argent;t3:or;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Gigela&population=6313&size=26&seed=8820546000024&river=1&coast=1&farms=0&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=1&walls=0&shantytown=0&style=natural&sea=1.08
25,Nishitawa,Shinawa,Shinawa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,11099,703.29,165.41,46.72,5.31,25,3°C,Tromsø (Norway),,,,walls,plaza,,,{t1:sable;charges:[{charge:lochaberAxe;t:argent;p:e;t2:argent;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Nishitawa&population=11099&size=32&seed=8820546000025&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
26,Kupenbach,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Selûne,towns,35309,414.73,180.14,42.87,-70.19,16,7°C,Montreal (Canada),,port,,walls,plaza,,,{t1:sable;division:{division:perBend;t:argent;line:straight};ordinaries:[{ordinary:pall;t:or;divided:division}];shield:pavise},https://watabou.github.io/city-generator/?name=Kupenbach&population=35309&size=50&seed=8820546000026&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=0.71
27,Kronavels,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,38685,396.99,185.77,41.4,-74.83,9,9°C,Copenhagen (Denmark),,port,citadel,walls,plaza,temple,shanty town,{t1:sable;charges:[{charge:lymphad;t:argent;p:e;t2:or;t3:argent;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Kronavels&population=38685&size=52&seed=8820546000027&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural&sea=0.44
28,Ballberg,Aiburg,Aiburg Province,Nosland,United Kingdom of Nosland,Weisin,Selûne,towns,2285,368.71,227.85,30.39,-82.23,4,16°C,Dubrovnik (Croatia),,,,,plaza,,,{t1:argent;charges:[{charge:crossPatteeAlisee;t:azure;p:e;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Ballberg&population=2285&size=18&seed=8820546000028&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
29,Yukiyamada,Nisho,Korika Province,Yugure,Empire of Yugure,Shin,Pelor,towns,15262,801.5,236.07,28.24,31,100,17°C,Lisbon (Portugal),,,,,,,,{t1:vert;division:{division:perFess;t:or;line:nebuly};charges:[{charge:sickle;t:argent;p:jlh;t2:argent;divided:counter;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Yukiyamada&population=15262&size=36&seed=8820546000029&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
30,Khahaneej,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,34497,1206.9,443.17,-25.95,137.07,4,24°C,Dakar (Senegal),,port,,walls,plaza,temple,,{t1:purpure;division:{division:perPale;t:argent;line:urdy};charges:[{charge:dragonRampant;t:or;p:p;t2:or;t3:or;size:0.7};{charge:heart;t:azure;p:q;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Khahaneej&population=34497&size=50&seed=8820546000030&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=0&style=natural&sea=0.14
31,Reyknestad,Lenes,Lenes Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,3778,392.67,485.88,-37.12,-75.96,25,18°C,Barcelona (Spain),,port,citadel,walls,plaza,temple,,{t1:gules;division:{division:perFess;t:argent;line:nowyReversed};charges:[{charge:anchor;t:or;p:giz;divided:counter;size:0.4}];shield:spanish},https://watabou.github.io/city-generator/?name=Reyknestad&population=3778&size=21&seed=8820546000031&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=0&style=natural&sea=1.27
32,Kuni,Kanu,Kanu Province,Yugure,Empire of Yugure,Shin,Pelor,towns,3052,1085.5,184.8,41.65,105.31,36,7°C,Montreal (Canada),,,,,plaza,,,{t1:or;charges:[{charge:orb;t:gules;p:jlh;t2:gules;t3:gules;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kuni&population=3052&size=20&seed=8820546000032&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
33,Liyah,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,10817,1166.55,488.55,-37.82,126.52,4,17°C,Lisbon (Portugal),,,,,,,,{t1:azure;charges:[{charge:basilisk;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Liyah&population=10817&size=32&seed=8820546000033&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
34,Hraflaku,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,11218,238.95,514.15,-44.52,-116.18,4,12°C,Paris (France),,,,,plaza,,,{t1:or;ordinaries:[{ordinary:fess;t:gules;line:straight}];charges:[{charge:lionHeadErased;t:or;p:e;t2:or;size:0.7}];shield:spanish},https://watabou.github.io/city-generator/?name=Hraflaku&population=11218&size=32&seed=8820546000034&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
35,Dhafina,Tabratoria,Oman Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,1979,1029.19,516.57,-45.15,90.58,4,12°C,Paris (France),,,citadel,,plaza,,,{t1:sable;charges:[{charge:eagleTwoHeads;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Dhafina&population=1979&size=17&seed=8820546000035&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
36,Hinarabiha,Kanu,Kanu Province,Yugure,Empire of Yugure,Shin,Pelor,towns,12144,1084.77,204.69,36.45,105.12,25,13°C,Milan (Italy),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:pall;t:or}];charges:[{charge:lozengeFaceted;t:sable;p:jleh;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Hinarabiha&population=12144&size=33&seed=8820546000036&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
37,Oihoku,Nishiwa,Nishiwa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,2477,1046.08,232.22,29.24,95,324,14°C,Washington (D.C.),,port,,walls,plaza,,,{t1:azure;charges:[{charge:duck;t:or;p:e;t2:or;t3:or;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Oihoku&population=2477&size=18&seed=8820546000037&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.4
38,Hiha,Seto,Seto Province,Yugure,Empire of Yugure,Shin,Pelor,towns,7326,1225.24,322.5,5.63,141.87,4,29°C,Niamey (Niger),,,,walls,plaza,,,{t1:argent;charges:[{charge:pique;t:sable;p:jleh;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Hiha&population=7326&size=27&seed=8820546000038&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
39,Kogurda,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,2137,284.74,466.6,-32.08,-104.2,196,18°C,Barcelona (Spain),,,citadel,,plaza,,,{t1:sable;charges:[{charge:key;t:or;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Kogurda&population=2137&size=17&seed=8820546000039&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
40,Khab,Tabratoria,Oman Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,2081,998.8,486,-37.15,82.63,9,17°C,Lisbon (Portugal),,,,walls,,,,{t1:or;ordinaries:[{ordinary:terrace;t:purpure;line:potenty}];charges:[{charge:crossHummetty;t:gules;p:bdf;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Khab&population=2081&size=17&seed=8820546000040&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
41,Aljah,Tabratoria,Oman Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,19587,1062.85,499.04,-40.56,99.38,25,15°C,Rome (Italy),,,,,plaza,,,{t1:sable;charges:[{charge:ladder2;t:argent;p:e;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Aljah&population=19587&size=40&seed=8820546000041&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
42,Muwaid,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,8425,1184.87,509.23,-43.23,131.31,25,13°C,Milan (Italy),,port,,,plaza,,,{t1:sable;ordinaries:[{ordinary:cross;t:or;line:rayonne}];charges:[{charge:lymphad;t:gules;p:behdf;t2:gules;t3:argent;size:0.3}];shield:roman},https://watabou.github.io/city-generator/?name=Muwaid&population=8425&size=29&seed=8820546000042&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.31
43,Alah,Tabratoria,Oman Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,2582,1055.83,516.4,-45.1,97.55,81,11°C,Antwerp (Belgium),,port,citadel,walls,plaza,temple,shanty town,{t1:or;ordinaries:[{ordinary:gemelle;t:gules;line:straight}];charges:[{charge:billet;t:gules;p:abc;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Alah&population=2582&size=19&seed=8820546000043&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural&sea=1.68
44,Lonstad,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,49157,288.42,554,-54.94,-103.24,81,6°C,Stockholm (Sweden),,,,,plaza,,,{t1:argent;charges:[{charge:elephantHeadErased;t:sable;p:e;t2:sable;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Lonstad&population=49157&size=57&seed=8820546000044&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
45,Djudir,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,4314,585.93,554.94,-55.19,-25.4,25,7°C,Montreal (Canada),,,,,,,,{t1:argent;division:{division:perCross;t:sable;line:straight};charges:[{charge:buckle;t:gules;p:jlmo;divided:counter;size:0.6}];shield:spanish},https://watabou.github.io/city-generator/?name=Djudir&population=4314&size=23&seed=8820546000045&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
46,Mistad,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,33125,241.14,576,-60.7,-115.61,4,3°C,Tromsø (Norway),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:point;t:or}];charges:[{charge:palmTree;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Mistad&population=33125&size=49&seed=8820546000046&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
47,Dornshutten,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,21047,497.43,112.81,60.49,-48.55,16,-5°C,Snag (Yukon),,,,,plaza,,,{t1:gules;charges:[{charge:butterfly;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Dornshutten&population=21047&size=41&seed=8820546000047&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
48,Yoshi,Shinawa,Shinawa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,6770,688.71,180.2,42.85,1.49,25,7°C,Montreal (Canada),,port,,walls,plaza,,,{t1:argent;charges:[{charge:anchor;t:purpure;p:abc;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Yoshi&population=6770&size=27&seed=8820546000048&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=0.78
49,Kusejiwai,Nishiwa,Nishiwa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,5795,1027.8,187.5,40.94,90.21,441,4°C,Reykjavik (Iceland),,,,,plaza,,,{t1:or;ordinaries:[{ordinary:pale;t:purpure;line:straight}];charges:[{charge:wolfHeadErased;t:argent;p:e;t2:argent;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kusejiwai&population=5795&size=25&seed=8820546000049&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
50,Yasune,Shinawa,Shinawa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,24431,676.22,215.83,33.53,-1.77,121,12°C,Paris (France),,port,,,,,,{t1:purpure;charges:[{charge:shipWheel;t:argent;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Yasune&population=24431&size=43&seed=8820546000050&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.27
